census_tract,income,crime_rate_property,ownership_rate,non_english_french,move_rate,immigration_rate,unemployment_rate
535009300,62382,0.045255752044114854,0.23198326678075679,0.30899410534322114,0.17113519680547631,0.3118463586233124,0.04278379920136908
535009400,52942,0.03324225865202967,0.23224043715846995,0.5152224824355972,0.13173302107728338,0.4537470725995316,0.0351288056206089
535009500,50043,0.02602905569007264,0.2360774818401937,0.4978813559322034,0.15738498789346247,0.4827481840193705,0.02875302663438257
535009600,55122,0.029109698953783937,0.22722896206431736,0.5170421721548238,0.11457731561717698,0.4698632774889274,0.043327556325823226
535009701,42854,0.032170200235644875,0.16342756183745583,0.5996024734982333,0.1689487632508834,0.5973939929328622,0.058524734982332155
535009702,42172,0.04139414802065405,0.1523235800344234,0.6402753872633391,0.23407917383820998,0.5800344234079173,0.058519793459552494
535009800,39598,0.021827182718271828,0.20477047704770476,0.588058805880588,0.156015601560156,0.5423042304230423,0.041254125412541254
535009900,46099,0.025891548607718612,0.1693535254844488,0.4339684090539,0.211691906855561,0.4176844162188569,0.03663898387884709
535010000,44057,0.04389420371412493,0.18851997749015195,0.3235790658413056,0.17726505346088914,0.3404614518851998,0.03657850309510411
535010100,50115,0.034385629251594385,0.1913265306122449,0.33482142857142855,0.22321428571428573,0.3268494897959184,0.043048469387755105
535010201,75517,0.009094893710059173,0.24326101249178173,0.24326101249178173,0.1051939513477975,0.2794214332675871,0.013149243918474688
535010202,42487,0.024244526672756707,0.030064754856614247,0.5018501387604071,0.2913968547641073,0.5006938020351527,0.052035152636447736
535010203,46962,0.010413329061198334,0.03043896187119513,0.5751361743031079,0.28035885933995514,0.5142582505607177,0.06247997436719
535010300,72138,0.01757079495052883,0.2865916069600819,0.27379733879222107,0.12708973046741726,0.29767997270556124,0.02302968270214944
535010400,87096,0.028727858293140094,0.30917874396135264,0.2541062801932367,0.08502415458937199,0.25507246376811593,0.025120772946859903
535010500,57352,0.026082821188103598,0.23266022827041263,0.32045654082528535,0.15693590869183494,0.32484635645302895,0.046093064091308165
535010600,57806,0.08705055420383888,0.2460124357934577,0.5690727223573939,0.17166801838334686,0.5798864557988646,0.04595836712625034
535010700,62160,0.023766654663305724,0.26557436082102986,0.5923658624414836,0.09812747569319409,0.5347497299243789,0.03961109110550954
535010800,35971,0.027353300733496334,0.18184596577017115,0.6081907090464548,0.13523838630806845,0.5829767726161369,0.0511919315403423
535010900,50053,0.023630025940418287,0.21643968871595332,0.648103112840467,0.1519941634241245,0.5508268482490273,0.052285992217898834
535011000,45949,0.0336817653891718,0.2305012061109622,0.6526400428839453,0.12061109622085232,0.5856338783168051,0.049584561779683733
535011100,60393,0.02165062916358253,0.28312361213915616,0.5884529977794226,0.09067357512953368,0.5514433752775721,0.025906735751295335
535011200,51005,0.020972142902531885,0.2579478393299067,0.6615267466209784,0.13992004568817817,0.5863316200266514,0.033314296592423374
535011300,64922,0.03855584160831188,0.1930856932695844,0.45605001838911363,0.10849577050386171,0.3328429569694741,0.027583670467083488
535011400,38997,0.031037494541081793,0.21149167134568594,0.40052405015908665,0.14972861688190156,0.38367958075987274,0.04959760434212989
535011500,53749,0.014992503748125937,0.18633540372670807,0.4947526236881559,0.11351467123581066,0.44870421931891197,0.03962304562004712
535011600,53581,0.03180296508847441,0.18173122907699665,0.24748923959827834,0.10521281683405069,0.30248684839789575,0.03467240554758489
535011700,86528,0.035727860129418476,0.282212086659065,0.18529076396807298,0.14253135689851767,0.25085518814139113,0.03420752565564424
