year,month,day,time,temperature,load
2015,6,6,19,17.39569541078167,14554
2015,6,6,20,14.525390645180218,14397
2015,6,6,21,12.170211555207189,14457
2015,6,6,22,11.20616449841593,13820
2015,6,6,23,9.954645649187057,12916
2015,6,7,0,8.871717254285217,11996
2015,6,7,1,9.009318458778804,11438
2015,6,7,2,7.788635016502051,11108
2015,6,7,3,7.137071666711567,10938
2015,6,7,4,6.793094755964491,10968
2015,6,7,5,6.887032042959377,10859
2015,6,7,6,9.251994243514776,10804
2015,6,7,7,12.23743135379349,11211
2015,6,7,8,14.474116157928227,11864
2015,6,7,9,16.253959277291077,12323
2015,6,7,10,17.194732729492753,12662
2015,6,7,11,18.201506545061548,12840
2015,6,7,12,18.503879204339565,12935
2015,6,7,13,19.16431819308325,13212
2015,6,7,14,19.59397682186774,13304
2015,6,7,15,19.483672579465196,13660
2015,6,7,16,19.53401963355892,13996
2015,6,7,17,18.75519662471763,14541
2015,6,7,18,18.291120527152085,14775
2015,6,7,19,17.86593234798046,14953
2015,6,7,20,17.216022271586137,15261
2015,6,7,21,17.03805486927623,15254
2015,6,7,22,17.740019138607742,14479
2015,6,7,23,18.110924985053344,13560
2015,6,8,0,17.912402601282732,12651
2015,6,8,1,18.517808483480213,12196
2015,6,8,2,18.743125012775508,11918
2015,6,8,3,18.632746617489737,11885
2015,6,8,4,18.374802748841475,12152
2015,6,8,5,18.617099422741095,12808
2015,6,8,6,18.82543466519575,14062
2015,6,8,7,18.941766587273857,15477
2015,6,8,8,19.00957479424226,16223
2015,6,8,9,18.506167650362507,16701
2015,6,8,10,17.774400742926154,17094
2015,6,8,11,17.81624966116612,16978
2015,6,8,12,18.226747957209536,16854
2015,6,8,13,19.70003982141091,16816
2015,6,8,14,20.353800303580794,16482
2015,6,8,15,20.832287004064966,16537
2015,6,8,16,21.14637986884443,16538
2015,6,8,17,21.344804835438666,16884
2015,6,8,18,20.75461070684672,16804
2015,6,8,19,19.72779847565505,17001
2015,6,8,20,17.876532410427547,16960
2015,6,8,21,17.258836802423545,16892
2015,6,8,22,16.474952149375223,15751
2015,6,8,23,16.434411855192963,14424
2015,6,9,0,15.8605037575276,13447
2015,6,9,1,15.733164669804868,12999
2015,6,9,2,15.235736505856332,12592
2015,6,9,3,14.951158624173184,12399
2015,6,9,4,14.934666573273294,12435
2015,6,9,5,15.1462633946184,12674
2015,6,9,6,15.010332418149531,13589
2015,6,9,7,15.215251961541565,15151
2015,6,9,8,15.897128764413955,15882
2015,6,9,9,16.683464668820914,15904
2015,6,9,10,17.45526881480998,16172
2015,6,9,11,18.62331796773898,16214
2015,6,9,12,19.794022571641378,16278
2015,6,9,13,20.60084886906228,16354
2015,6,9,14,20.99811368921163,16271
2015,6,9,15,21.50377692280503,16407
2015,6,9,16,21.735794427348473,16735
2015,6,9,17,21.386552528098655,17015
2015,6,9,18,20.617981793567886,16855
2015,6,9,19,19.734237180040626,16901
2015,6,9,20,17.945529388650193,16876
2015,6,9,21,16.467178530013324,17013
2015,6,9,22,15.704137155073527,16062
2015,6,9,23,14.98286686396379,14623
2015,6,10,0,14.545172493687117,13263
2015,6,10,1,14.2012261023311,12588
2015,6,10,2,13.275658270614748,12216
2015,6,10,3,13.183811804026835,12033
2015,6,10,4,13.00860473290889,11996
2015,6,10,5,12.84422500339163,12259
2015,6,10,6,14.717327037187799,13334
2015,6,10,7,16.562255356240343,14602
2015,6,10,8,18.62613795441236,15303
2015,6,10,9,20.10571343476412,15478
2015,6,10,10,21.036108014227104,15702
2015,6,10,11,20.55152341331232,16246
2015,6,10,12,21.268853618327878,16091
2015,6,10,13,23.029130471284958,16368
2015,6,10,14,23.69292913013869,16544
2015,6,10,15,24.251884835394012,17077
2015,6,10,16,24.481356163409068,17657
2015,6,10,17,23.00306999015964,18099
2015,6,10,18,21.676531906616297,17887
2015,6,10,19,20.418567031425738,17810
2015,6,10,20,18.851266258677818,17770
2015,6,10,21,17.46571585823003,17552
2015,6,10,22,16.39044442157003,16349
2015,6,10,23,15.929378476315206,14736
2015,6,11,0,15.16995488593176,13595
2015,6,11,1,14.708554378208133,13030
2015,6,11,2,14.350922833618448,12573
2015,6,11,3,14.005371400545398,12315
2015,6,11,4,13.553363786366685,12297
2015,6,11,5,13.421215465920037,12695
2015,6,11,6,14.23567293359577,13464
2015,6,11,7,15.50101245617689,14897
2015,6,11,8,16.951738359243045,15680
2015,6,11,9,17.98694193665799,15669
2015,6,11,10,19.22763508822845,15889
2015,6,11,11,19.980017815535742,16052
2015,6,11,12,21.349559570963255,16249
2015,6,11,13,22.0237472419494,16533
2015,6,11,14,22.089056782956607,16682
2015,6,11,15,22.307733245575076,16878
2015,6,11,16,21.69043267569699,17176
2015,6,11,17,21.264997652144448,17265
2015,6,11,18,20.85302618988845,16999
2015,6,11,19,19.884294875717394,16956
2015,6,11,20,18.579999304407522,17068
2015,6,11,21,17.619959048970546,17203
2015,6,11,22,17.141054601476647,16191
2015,6,11,23,16.604473120742206,14676
2015,6,12,0,16.34887045328368,13475
2015,6,12,1,16.114412789254573,12837
2015,6,12,2,15.575457630438537,12427
2015,6,12,3,15.18924710561257,12250
2015,6,12,4,14.87679144369707,12272
2015,6,12,5,14.935403633362146,12691
2015,6,12,6,15.482950417292363,13782
2015,6,12,7,15.879963287169856,15129
2015,6,12,8,16.48492304848436,15900
2015,6,12,9,16.717873156253617,16200
2015,6,12,10,17.316265178935236,16380
2015,6,12,11,17.619923019714545,16466
2015,6,12,12,17.32871574569884,16597
2015,6,12,13,17.06243660803023,16678
2015,6,12,14,17.00373788285161,16426
2015,6,12,15,16.964821551346436,16456
2015,6,12,16,16.92734333411903,16411
2015,6,12,17,16.799004983734875,16265
2015,6,12,18,16.60514188738609,16197
2015,6,12,19,16.133333968603996,15913
2015,6,12,20,15.923844373120474,15819
2015,6,12,21,16.001454599567925,15979
2015,6,12,22,15.80906409467511,15068
2015,6,12,23,15.363009332916075,13891
2015,6,13,0,15.104727324214675,12906
2015,6,13,1,14.857621138868014,12267
2015,6,13,2,14.705022230456958,11925
2015,6,13,3,14.495001408398513,11550
2015,6,13,4,14.441648548835165,11457
2015,6,13,5,14.574484754840967,11543
2015,6,13,6,14.938473844094412,11704
2015,6,13,7,15.12898243892801,12345
2015,6,13,8,15.947582165126146,13218
2015,6,13,9,16.81291223692858,13842
2015,6,13,10,17.74610556896313,14074
2015,6,13,11,18.989430892515806,14090
2015,6,13,12,19.919233523452682,14065
2015,6,13,13,20.90302072068352,14112
2015,6,13,14,21.52923225342264,14081
2015,6,13,15,22.15329319136722,14142
2015,6,13,16,22.574573639520754,14613
2015,6,13,17,22.56974996901449,15258
2015,6,13,18,22.30703276700997,15311
2015,6,13,19,21.369591619393038,15222
2015,6,13,20,19.886813303265697,14796
2015,6,13,21,18.48379062767016,15115
2015,6,13,22,17.317204185105588,14570
2015,6,13,23,16.860577354712095,13655
2015,6,14,0,16.389953584987925,12665
2015,6,14,1,15.46297109463884,12019
2015,6,14,2,15.461216596040162,11609
2015,6,14,3,15.695795809057099,11272
2015,6,14,4,15.69930894115229,11133
2015,6,14,5,15.712332016155377,11172
2015,6,14,6,16.150133343200096,11215
2015,6,14,7,16.91354787922193,11633
2015,6,14,8,17.81121032107766,12446
2015,6,14,9,18.93215400998707,13233
2015,6,14,10,19.466988197568302,13774
2015,6,14,11,19.29834557315974,14336
2015,6,14,12,19.207839153627244,14735
2015,6,14,13,19.294626732894066,14698
2015,6,14,14,19.160445611266763,14688
2015,6,14,15,19.070114710268157,14940
2015,6,14,16,19.153679617017914,15254
2015,6,14,17,18.8754323927638,15738
2015,6,14,18,18.804170650599005,15594
2015,6,14,19,18.531156512001566,15503
2015,6,14,20,18.156740369716335,15622
2015,6,14,21,17.78016041105015,15816
2015,6,14,22,17.296322952323692,15072
2015,6,14,23,17.091639775034636,13913
2015,6,15,0,16.898122444124176,12869
2015,6,15,1,17.026744667368686,12404
2015,6,15,2,17.140779158623083,12198
2015,6,15,3,17.01908850621844,12139
2015,6,15,4,17.137025987646698,12209
2015,6,15,5,17.243756158814705,12604
2015,6,15,6,17.434558864528448,13645
2015,6,15,7,18.27435678472264,15103
2015,6,15,8,18.772625018439783,15971
2015,6,15,9,20.05413846455581,16390
2015,6,15,10,20.91784922588169,16846
2015,6,15,11,22.22276467519692,17070
2015,6,15,12,23.590576927878118,17218
2015,6,15,13,24.268988345495075,17520
2015,6,15,14,24.572783530238304,17816
2015,6,15,15,24.472586775094378,18245
2015,6,15,16,23.776747132920946,18629
2015,6,15,17,23.099735824667636,18951
2015,6,15,18,22.61430306016113,18799
2015,6,15,19,22.046936822403037,18456
2015,6,15,20,21.084708642797057,18508
2015,6,15,21,20.29360467073903,18514
2015,6,15,22,19.92921630258214,17460
2015,6,15,23,19.665908229862524,15940
2015,6,16,0,19.36221638120183,14595
2015,6,16,1,19.074134219639937,13835
2015,6,16,2,19.065831816325087,13495
2015,6,16,3,19.064242821408413,13166
2015,6,16,4,19.13264963188736,13102
2015,6,16,5,18.853095652611017,13527
2015,6,16,6,18.6054393146534,14572
2015,6,16,7,18.96587145809614,15975
2015,6,16,8,19.728598859471504,16567
2015,6,16,9,20.21809576516847,16868
2015,6,16,10,21.248158316624423,17245
2015,6,16,11,22.90566445229369,17532
2015,6,16,12,23.38248771930791,17500
2015,6,16,13,24.05386127381405,17706
2015,6,16,14,24.001308262137073,17783
2015,6,16,15,23.796812501795277,17858
2015,6,16,16,23.713644906091968,18224
2015,6,16,17,22.794670227873446,18336
2015,6,16,18,22.259214755567548,18152
2015,6,16,19,21.49045139417268,18132
2015,6,16,20,19.23708156880591,17877
2015,6,16,21,17.816451230949337,17689
2015,6,16,22,16.577634420811965,16736
2015,6,16,23,15.221612359406896,15158
2015,6,17,0,13.894075777175395,13734
2015,6,17,1,13.544461106095943,12873
2015,6,17,2,18.202985456715602,12489
2015,6,17,3,16.365659283678024,12264
2015,6,17,4,18.2953436053583,12260
2015,6,17,5,12.609202008272664,12597
2015,6,17,6,13.687229790190262,13451
2015,6,17,7,16.022885633169352,14807
2015,6,17,8,17.65024239548909,15309
2015,6,17,9,18.93762441545837,15374
2015,6,17,10,19.372787423835288,15823
2015,6,17,11,19.938564778903725,15845
2015,6,17,12,19.901934432295093,15943
