"","ed_num","Conservative","Liberal","NDP","share_middle_class","share_high_income","share_low_educ","share_uni_educ","share_imm","share_english","share_french","share_not_english_or_french","share_married","share_divorced","share_young","share_old"
"123","35013",0.408932861297256,0.306960424832469,0.248372107725376,0.317720145942215,0.421851888373928,0.325734065409406,0.113332537598472,0.125323808776199,0.947805502735845,0.000271644223679615,0.00620901082696263,0.450914404640659,0.0521888622828022,0.176099036041014,0.17629090685823
"124","35014",0.466813413097119,0.388386913532033,0.111302433742211,0.339886071707807,0.360437842064113,0.320200125078174,0.106142728093948,0.0750773625327303,0.942597475984178,0.000235449237144472,0.00598041062346958,0.454836857716965,0.0501954884425004,0.151329414277621,0.240854762767113
"125","35015",0.424821683309558,0.459757489300999,0.0910271041369472,0.285614594756256,0.537633336656365,0.22839197376466,0.208076260352398,0.220279139320429,0.905458730680697,0.000452153896744492,0.00628904965471884,0.463553826199741,0.0573956811170645,0.145802890079558,0.225077122909563
"126","35016",0.386452689401751,0.431654136747971,0.138679015354619,0.305775500698649,0.478341872380065,0.341936583702693,0.121002386634845,0.204376657824934,0.929199282809289,0.000262386845672804,0.0164866401364412,0.454232452904432,0.0490200323913288,0.178412132024978,0.152819517940812
"127","35017",0.417097996959843,0.372342267803198,0.18373708414308,0.348392210144928,0.353940217391304,0.364330171902786,0.0931016597510373,0.130936550151976,0.907852193995381,0.000646651270207852,0.0161662817551963,0.461824205612168,0.0509948092940092,0.16753482516717,0.206123026117735
"128","35018",0.105538076798967,0.442622620200065,0.413560826072927,0.300291545189504,0.408836061897286,0.280885707045109,0.250190065889508,0.422691343743975,0.813718679079246,0.00115788986151637,0.0770228335880691,0.432318415260455,0.049966351073539,0.124270555806514,0.12864952568842
"129","35019",0.292271809175724,0.578243724151198,0.103563527940752,0.342911102117901,0.366248482395791,0.241475911386339,0.254082347303623,0.549944812362031,0.870360523237265,0.00143571200680634,0.0406785068595129,0.471777094643208,0.061007200329883,0.160606477124943,0.181382759386333
"130","35020",0.37820386543218,0.514238185917219,0.0852758990522468,0.301916932907348,0.429220938805603,0.178772218751775,0.328638764268272,0.667721210941302,0.860554488059292,0.000960746637386769,0.063592277427029,0.481224330138862,0.0488753225044515,0.133226134670591,0.190504742178131
"131","35021",0.375954273186392,0.537759855929217,0.0602121912069843,0.238888888888889,0.546640826873385,0.155554169525354,0.385205513628142,0.407269244341382,0.837350578091319,0.000783852635704488,0.0275818146188517,0.475594493116396,0.0459964100362898,0.186424474187381,0.152183244234596
"132","35022",0.462804585532084,0.391110155332418,0.0727531389058907,0.236172695449242,0.631038506417736,0.297412517022914,0.146308247972053,0.194720643939394,0.928602251775136,0.000196147659958417,0.0098858420619042,0.466645025158254,0.0373527141152709,0.185554871059055,0.13903943479651
"133","35023",0.451304821998909,0.357544597647425,0.160302251304822,0.26492619519718,0.607072042300066,0.273624823695346,0.133905184076451,0.154743902911868,0.921052631578947,0.000462356476843646,0.00524004007089466,0.458804191493733,0.0403065590806284,0.192401736047436,0.138952564337673
"134","35024",0.426369371952968,0.488923143102954,0.062822626899914,0.259006928406466,0.503002309468822,0.19406512605042,0.328898225957049,0.397936926292829,0.86993414946745,0.000795509789189906,0.0238210986874088,0.473240469208211,0.0556405437300581,0.179028803706456,0.16460509637659
"135","35025",0.492210141745561,0.309873008624172,0.154058279029737,0.326470588235294,0.442307692307692,0.32602394025168,0.100808239266105,0.128106482709826,0.94895714159993,8.80049282759835e-05,0.00712839919035466,0.461992046441468,0.0456749991308278,0.186350519764976,0.180005562702083
"136","35026",0.356874989674712,0.208802101402587,0.414200987923543,0.286288570186875,0.556279878313777,0.282896892781601,0.153245747311347,0.124054772123442,0.881866698768107,0.000521648408972353,0.0082259941414871,0.47191909501539,0.040775816712106,0.174901548125827,0.170437333588431
"137","35027",0.373288890327174,0.527685188181612,0.0790589301317109,0.286644951140065,0.521060316747164,0.231939929226963,0.261140999453379,0.419329526134531,0.889643609475087,0.000816817849619535,0.0258802287089979,0.475730431927965,0.0502448696005829,0.14586263577977,0.212121468878684
"138","35028",0.324486885347554,0.536956656538724,0.108978731320146,0.286535656054235,0.461426242169398,0.196132391223503,0.2827321185075,0.387265135699374,0.876148043928557,0.000742564583577598,0.0252862781881424,0.452078977932636,0.0679418349718394,0.130693130669889,0.161449012635477
"139","35029",0.229959109927729,0.624072841384557,0.124096614682389,0.35894341646554,0.360418342719228,0.356522324735672,0.162266819314432,0.596799015081564,0.901130787283977,0.00149349263921485,0.0510774482611479,0.479937100097603,0.048881735005083,0.184005421890884,0.142028126058963
"140","35030",0.434822554494686,0.391424968474149,0.14013691226806,0.24990099009901,0.630759075907591,0.254467690063327,0.161665727263685,0.199863263445761,0.938684151028713,0.000587836310196699,0.00926972643002487,0.470198675496689,0.0316931526583532,0.19299509296358,0.151172736685725
"141","35031",0.364125099340844,0.532763000015583,0.0792700980162997,0.286377349733117,0.496286841494546,0.307613027346434,0.116050570289955,0.0512652908768326,0.239108362562304,0.0997784751707587,0.000923020121838656,0.435374149659864,0.042100477381223,0.164355535348943,0.178449647647193
"142","35032",0.263453941718669,0.490968683803744,0.120112211599015,0.296911421911422,0.493006993006993,0.25458628713675,0.233724768656313,0.218602841019654,0.896085028291788,0.000535250038232146,0.0134959473925677,0.452386227677582,0.0497746483147943,0.172010865441522,0.145871587477427
"143","35033",0.441400250044651,0.36590462582604,0.136185033041615,0.327027967970291,0.436462806081003,0.337553332867035,0.0811009302650906,0.0984501913920269,0.961721164045566,0.000138357238389522,0.00737905271410783,0.458982638401423,0.0465563783606318,0.158911830153577,0.206699376208368
"144","35034",0.448264708736294,0.317527573826697,0.194262056473785,0.333903926393495,0.409115224136086,0.318243113080331,0.0919861298401079,0.0802883532327101,0.951461936174006,0.000133713674451774,0.00151542164378677,0.454608665420886,0.0519059988065569,0.130971603074871,0.255493348309874
