dist_no,liberal_vote_share,immigrant_share
24038,0.32097573330378487,0.04081184378157536
24039,0.23660869406192278,0.23467608530424286
24040,0.4770224149063739,0.3249446774626631
24041,0.3539366043282341,0.1951530731917848
24042,0.2166869048379881,0.01889401733493059
24043,0.30014261413426346,0.15993118865164715
24044,0.3484711065042757,0.11113153871460918
24045,0.2141520956047184,0.04260563980961804
24046,0.29367118724720437,0.011835534706759765
24047,0.28143041427876586,0.013526990932330655
24048,0.261099330169309,0.03523102029714752
24049,0.3254312205397379,0.07867213299117685
24050,0.2732366201965704,0.03380224298719219
24051,0.2843449830432752,0.010677609471667696
24052,0.5033610122578094,0.45954316686024005
24053,0.5767255247804934,0.355373711585726
24054,0.33464774524863017,0.3491105712718439
24055,0.5198148512901319,0.38799097065462756
24056,0.5865994359456457,0.37771556447825244
24057,0.545373253493014,0.07798772623797942
24058,0.21466668815159767,0.02354461335669005
24059,0.28897098409044497,0.08816898798678237
24060,0.2729294137492141,0.07241569451863594
24061,0.24673729464148625,0.02228604464668693
24062,0.32365709954174277,0.08212338537900846
24063,0.2635684910955398,0.03619957915760191
24064,0.20687408931173396,0.20333944722028968
24065,0.4094085281980743,0.2180835380835381
24066,0.2755246555941805,0.040216957338864386
24067,0.3315669194846488,0.03377102257397248
24068,0.6157203074634268,0.5279374266402235
24069,0.6473243358559206,0.4883757905522383
24070,0.4152034878789421,0.014011826162664151
24071,0.291785162915414,0.03044511016964175
24072,0.3896300067888663,0.0367107855928162
24073,0.29792321116928444,0.09421997553428797
24074,0.46621291661579783,0.13885277663616463
24075,0.2799396060668451,0.08949137351557249
24076,0.30227736402992256,0.037370492693299555
24077,0.5081532573160035,0.3120121403465929
24078,0.46154978562096316,0.33294000911797045
35001,0.5586871969737333,0.38720890396650987
35002,0.34105960264900664,0.04315388196218059
35003,0.473362102785406,0.4869952354916816
35004,0.37105044486329825,0.1497904580641619
35005,0.4156525180567923,0.10913997698138668
35006,0.5073553618768735,0.08032988563357178
35007,0.49447145687016025,0.31657653378156175
35008,0.48639987888574887,0.46900361787425443
35009,0.5232048843073929,0.5861475409836066
35010,0.48368143503716315,0.49331528177356576
35011,0.52087365827907794,0.5033914248935538
35012,0.5589197658878289,0.5385384615384615
35013,0.3069604248324693,0.12252870387425555
35014,0.38838691353203275,0.0732269058962286
35015,0.4597574893009986,0.21525409969150835
35016,0.43165413674797054,0.2001940015416194
35017,0.37234226780319796,0.1257537470693949
35018,0.44262262020006454,0.404248061729647
